Universita' di Roma Tor Vergata
Corso di Laurea in Ingeneria Informatica

Risultati dell' appello (prova scritta) di Sistemi Operativi del 18/9/2018

Votazione massima ottenibile: 21
Soglia per la sufficienza: 12

Matricola	VOTO
227111		12
239156		14
215742		non suff.
232097		12
177424		non suff.
174080		non suff.
182354		non suff.
239487		12
218935		14
178415		non suff.
242998		12

