
Universita' di Roma Tor Vergata
Corso di Laurea in Ingeneria Informatica

Risultati del pre-appello (prova scritta) di Sistemi Operativi del 4/6/2018

Votazione massima ottenibile: 21
Soglia per la sufficienza: 12


Matricola	voto

239226		18
244480		19
233382		non firmata la delibera
201845		15
228211		16
228110		15
235388		non suff.
220333		21
217407		12
92516		non suff.
239974		12
231938		12
231780		non firmata la delibera
177968		non suff.
241284		19
205480		17
206382		12
201570		non suff.
240909		14
205940		14
182120		14
245745		17
190234		16
187272		non suff.
215914		16
226196		17
150902		12
205796		non suff.
160544		16
218324		16
175265		12
215190		12
218660		12
239276		21
242178		17
238638		16
243948		13
227490		16
228343		15
228329		12
188670		15
145003		15
178415		non suff.
239778		16
239942		14
241477		17
214381		19
202181		15
227235		17
226335		16
215487		17
215152		12
202172		17
203293		14
215738		16
224462		non suff.
245329		10
201409		13
220422		non firmata la delibera
175039		14
244563		19
229232		14
243237		19
232751		14
239067		20
205271		14
203393		16
188303		18
227151		20
226155		19
215369		15
214761		15
228260		16
244953		17
215076		16
240384		16
175328		non suff.
215351		14
239848		21
192615		14
233337		18
202401		13
229953		13
213430		12
215128		20
239446		16
243033		non suff.
220620		18
205943		non firmata la delibera
226645		17
206002		12
240165		17
175025		12
219079		14
178658		non suff.
228269		12
216065		19
204525		non suff.
203716		13
189363		13
177148		16
234025		16
179916		16
215785		13
231993		20
200825		17
227134		12
239287		20
162056		21
186400		14
214649		17
219309		14
229670		15
218145		13
204089		non suff.
233636		14
